Date,Price,Open,High,Low,Vol.,Change %
"Dec 18, 2020",23127.9,"22,823.30","23,272.80","22,361.50",131.80K,1.33%
"Dec 17, 2020",22825.4,"21,352.30","23,738.00","21,243.10",310.74K,6.90%
"Dec 16, 2020",21352.2,"19,434.70","21,525.30","19,299.70",199.81K,9.87%
"Dec 15, 2020",19434.9,"19,273.90","19,556.30","19,076.20",98.39K,0.84%
"Dec 14, 2020",19273.8,"19,176.40","19,346.50","19,007.00",67.11K,0.51%
"Dec 13, 2020",19176.8,"18,808.10","19,403.60","18,716.80",82.45K,1.96%
"Dec 12, 2020",18808.9,"18,026.70","18,936.20","18,025.10",71.37K,4.36%
"Dec 11, 2020",18023.6,"18,250.50","18,288.30","17,600.10",111.53K,-1.23%
"Dec 10, 2020",18247.2,"18,546.10","18,551.80","17,926.80",85.31K,-1.61%
"Dec 09, 2020",18546,"18,322.40","18,637.90","17,658.80",129.72K,1.20%
"Dec 08, 2020",18326.6,"19,170.80","19,288.60","18,229.20",101.41K,-4.40%
"Dec 07, 2020",19170.7,"19,368.40","19,424.60","18,908.80",61.98K,-1.08%
"Dec 06, 2020",19379.9,"19,146.00","19,417.10","18,873.00",54.56K,1.22%
"Dec 05, 2020",19146.5,"18,657.50","19,172.70","18,507.10",59.44K,2.62%
"Dec 04, 2020",18658.1,"19,431.10","19,529.50","18,610.80",110.63K,-3.99%
"Dec 03, 2020",19433.3,"19,219.80","19,596.60","18,883.70",99.97K,1.12%
"Dec 02, 2020",19218.8,"18,767.90","19,335.50","18,346.70",91.92K,2.39%
"Dec 01, 2020",18770.7,"19,697.80","19,897.40","18,257.00",208.72K,-4.71%
"Nov 30, 2020",19698.1,"18,186.00","19,831.20","18,186.00",185.59K,8.32%
"Nov 29, 2020",18185.5,"17,729.70","18,336.30","17,530.40",79.12K,2.57%
"Nov 28, 2020",17730.7,"17,142.60","17,874.40","16,874.40",95.20K,3.52%
"Nov 27, 2020",17127.1,"17,160.90","17,450.30","16,481.60",138.80K,-0.20%
"Nov 26, 2020",17162,"18,721.90","18,894.90","16,235.20",312.07K,-8.34%
"Nov 25, 2020",18723,"19,151.50","19,486.70","18,527.70",146.12K,-2.24%
"Nov 24, 2020",19152.6,"18,394.60","19,416.60","18,074.80",180.79K,4.21%
"Nov 23, 2020",18379.6,"18,428.10","18,756.80","18,016.00",127.35K,-0.18%
"Nov 22, 2020",18412.9,"18,689.30","18,751.50","17,644.60",121.76K,-1.47%
"Nov 21, 2020",18687.2,"18,673.80","18,966.00","18,397.50",108.91K,0.06%
"Nov 20, 2020",18675.2,"17,805.50","18,811.00","17,758.40",134.42K,4.90%
"Nov 19, 2020",17803.5,"17,775.10","18,166.00","17,380.10",135.94K,0.16%
"Nov 18, 2020",17774.6,"17,662.30","18,466.10","17,258.90",233.43K,0.64%
"Nov 17, 2020",17662.3,"16,715.80","17,845.40","16,562.00",175.87K,5.66%
